,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Max Temp (F)
85,rikitea,0,PF,1608353199,77,-23.12,-134.97,25.62,9.49,78.116
155,prieska,0,ZA,1608353407,42,-29.66,22.75,26.32,1.06,79.376
225,puri,0,IN,1608353284,60,19.8,85.85,22.0,5.1,71.6
237,esperance,0,AU,1608353432,31,-33.87,121.9,26.0,2.1,78.80000000000001
270,cockburn town,0,TC,1608353441,80,21.46,-71.14,25.53,5.96,77.95400000000001
484,rio brilhante,0,BR,1608353508,80,-21.8,-54.55,23.13,2.28,73.634
490,cruzeiro do sul,0,BR,1608353510,95,-29.51,-51.99,22.78,1.12,73.004
498,de aar,0,ZA,1608353512,50,-30.65,24.01,23.14,4.26,73.652
499,santa maria,0,BR,1608353512,70,-29.68,-53.81,23.16,2.72,73.688
516,maldonado,0,UY,1608353519,83,-34.67,-54.92,22.22,5.1,71.99600000000001
