,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,normal,20,US,1608353360,86,40.51,-88.99,1.67,8.2
1,ribeira grande,95,PT,1608353360,78,38.52,-28.7,16.14,4.57
2,punta arenas,97,CL,1608353360,76,-53.15,-70.92,9.0,3.6
3,grand gaube,4,MU,1608353185,72,-20.01,57.66,27.22,3.13
4,vardo,70,NO,1608353361,94,70.37,31.11,-5.26,2.36
5,te anau,100,NZ,1608353199,91,-45.42,167.72,14.62,1.38
6,pisco,0,PE,1608353361,82,-13.7,-76.22,20.0,5.7
7,ushuaia,40,AR,1608353361,49,-54.8,-68.3,8.0,3.6
8,cidreira,13,BR,1608353362,85,-30.18,-50.21,22.59,8.76
9,bambous virieux,40,MU,1608353362,83,-20.34,57.76,27.22,5.1
10,albany,1,US,1608353362,91,42.6,-73.97,-11.11,1.5
11,hobart,75,AU,1608353046,50,-42.88,147.33,17.78,6.7
12,avarua,100,CK,1608353111,83,-21.21,-159.78,27.0,4.6
13,nanortalik,100,GL,1608353363,92,60.14,-45.24,-4.27,4.23
14,puerto ayora,33,EC,1608353363,94,-0.74,-90.35,21.67,2.66
15,carnarvon,0,AU,1608353363,69,-24.87,113.63,27.0,8.7
16,busselton,0,AU,1608353081,38,-33.65,115.33,29.44,2.24
17,puerto colombia,0,CO,1608353364,83,10.99,-74.95,27.0,5.1
18,araouane,0,ML,1608353365,31,18.9,-3.53,16.34,4.58
19,souillac,40,MU,1608353293,83,-20.52,57.52,27.0,5.1
20,pochutla,21,MX,1608353366,82,15.74,-96.47,23.89,0.45
21,paracuru,16,BR,1608353366,74,-3.41,-39.03,27.22,9.39
22,dikson,100,RU,1608353367,89,73.51,80.55,-29.6,2.74
23,ryabovo,90,RU,1608353367,98,59.4,31.13,1.0,1.0
24,barrow,1,US,1608353367,83,71.29,-156.79,-22.0,6.7
25,longyearbyen,75,SJ,1608353368,60,78.22,15.64,-14.0,5.7
26,leningradskiy,100,RU,1608353368,94,69.38,178.42,-11.15,10.08
27,bambanglipuro,13,ID,1608353111,71,-7.95,110.28,28.94,5.44
28,cape town,0,ZA,1608353368,88,-33.93,18.42,18.89,5.1
29,grindavik,0,IS,1608353369,74,63.84,-22.43,2.0,10.3
30,puerto carreno,65,CO,1608353370,85,6.19,-67.49,23.97,3.25
31,bethel,1,US,1608353370,78,41.37,-73.41,-8.33,2.1
32,batemans bay,97,AU,1608353370,85,-35.72,150.18,17.78,0.89
33,constitucion,15,CL,1608353089,90,-35.33,-72.42,11.18,2.71
34,dunedin,100,NZ,1608353127,73,-45.87,170.5,17.78,2.68
35,manokwari,98,ID,1608353201,66,-0.87,134.08,29.76,2.05
36,ust-ilimsk,100,RU,1608353371,92,58.0,102.66,-4.95,6.03
37,tiksi,100,RU,1608353163,87,71.69,128.87,-30.36,3.47
38,meulaboh,45,ID,1608353102,79,4.14,96.13,27.71,2.02
39,chuy,4,UY,1608353372,81,-33.7,-53.46,20.43,5.37
40,mataura,100,NZ,1608353373,93,-46.19,168.86,17.78,0.45
41,bonnyville,75,CA,1608353373,70,54.27,-110.73,-16.0,3.6
42,ust-nera,100,RU,1608353373,77,64.57,143.2,-31.54,0.95
43,aktau,90,KZ,1608353374,92,43.65,51.2,-1.0,2.0
44,atuona,89,PF,1608353374,76,-9.8,-139.03,25.91,7.49
45,san quintin,0,MX,1608353374,66,30.48,-115.95,14.02,0.5
46,arraial do cabo,77,BR,1608353374,91,-22.97,-42.03,23.54,4.38
47,bredasdorp,72,ZA,1608353375,88,-34.53,20.04,17.0,1.0
48,tupaciguara,40,BR,1608353077,77,-18.59,-48.7,21.0,2.6
49,iqaluit,5,CA,1608353193,76,63.75,-68.51,-21.67,1.0
50,hovd,0,MN,1608353375,81,48.01,91.64,-15.11,0.87
51,kavieng,88,PG,1608353376,74,-2.57,150.8,29.33,4.08
52,vaini,100,TO,1608353376,87,-21.2,-175.2,25.99,12.72
53,chokurdakh,26,RU,1608353163,88,70.63,147.92,-28.44,2.29
54,cayenne,90,GF,1608353376,100,4.93,-52.33,24.0,5.82
55,burnie,2,AU,1608353194,36,-41.07,145.92,19.44,4.02
56,isabela,75,PH,1608353377,70,6.71,121.97,31.0,1.5
57,saint anthony,90,US,1608353377,74,45.02,-93.22,2.0,4.1
58,hermanus,5,ZA,1608353187,80,-34.42,19.23,19.44,2.24
59,srednekolymsk,65,RU,1608353378,87,67.45,153.68,-31.53,0.97
60,florida,1,US,1608353211,93,28.75,-82.5,6.0,3.12
61,buala,100,SB,1608353378,76,-8.14,159.59,28.0,2.89
62,castro,1,BR,1608353378,95,-24.79,-50.01,17.1,1.35
63,la asuncion,29,VE,1608353379,84,11.03,-63.86,25.74,5.8
64,provideniya,98,RU,1608353164,90,64.38,-173.3,-15.16,7.59
65,ancud,0,CL,1608353379,87,-41.87,-73.82,11.67,1.0
66,kushiro,40,JP,1608353380,25,42.98,144.37,-4.0,6.2
67,khatanga,92,RU,1608353163,86,71.97,102.5,-28.26,2.66
68,lagoa,72,PT,1608353381,77,39.05,-27.98,15.65,4.04
69,yellowknife,90,CA,1608353381,73,62.46,-114.35,-34.0,5.7
70,coahuayana,53,MX,1608353381,67,18.73,-103.68,21.7,1.7
71,port hedland,49,AU,1608353382,67,-20.32,118.57,34.0,5.1
72,mirpur sakro,0,PK,1608353383,35,24.55,67.63,14.0,2.6
73,boyolangu,35,ID,1608353383,69,-8.12,111.89,29.12,4.67
74,severo-kurilsk,38,RU,1608353384,92,50.68,156.12,-1.63,1.97
75,port-cartier,0,CA,1608353384,78,50.03,-66.87,-8.0,1.5
76,mar del plata,0,AR,1608353384,88,-38.0,-57.56,20.0,3.1
77,new norfolk,98,AU,1608353384,49,-42.78,147.06,17.78,2.18
78,saskylakh,93,RU,1608353097,83,71.92,114.08,-33.63,4.14
